Stock,Entry_Point,Entry_Price,Stop_Loss,Target_Price,Target_Candle_Time,Target_Candle_Open,Target_Candle_Type,Direction
GICHSGFIN,2025-09-22 09:45:00,177.0,175.9,178.1,2025-09-22 10:20:00,176.8,RED,BUY
IIFLCAPS,2025-09-22 09:40:00,286.25,288.75,283.75,2025-09-22 09:35:00,287.2,GREEN,SELL
VSSL,2025-09-22 09:35:00,276.6,275.1,278.1,2025-09-22 09:30:00,276.2,RED,BUY
