Timestamp,Symbol,TriggerPrice,Status,OrderId
2025-10-10 09:16:15,MAFANG,171.9,SUCCESS,25101000014465
2025-10-10 09:42:13,AEGISVOPAK,273.85,SUCCESS,25101000076476
2025-10-10 10:00:12,CARYSIL,930.55,SUCCESS,25101000106914
2025-10-10 10:14:12,CAMPUS,281.0,SUCCESS,25101000125554
2025-10-10 10:55:12,MODIRUBBER,135.8,SUCCESS,25101000180354
2025-10-10 11:27:11,LATENTVIEW,435.0,SUCCESS,25101000219973
2025-10-10 12:15:14,SUPRIYA,735.0,SUCCESS,25101000263563
2025-10-10 12:55:12,MOM50,262.62,SUCCESS,25101000300496
2025-10-10 13:50:13,MOM50,262.65,SUCCESS,25101000350983
2025-10-10 14:50:11,GICRE,383.5,SUCCESS,25101000403777
2025-10-10 15:15:14,GUJTHEM,421.0,SUCCESS,25101000428283
