Symbol,BuyPrice,EntryTime,StopLoss,Target,Status,ExitPrice,ExitTime,ExitOrderId
IGL-EQ,208.4,2025-09-30 10:22:10,207.36,210.48,SL_HIT,207.23,2025-09-30 10:27:07,25093000174831.0
RUCHIRA-EQ,144.91,2025-09-30 13:35:09,144.19,146.36,USER_EXIT,0.0,2025-09-30 13:41:02,
BSLGOLDETF-EQ,103.28,2025-09-30 13:36:08,102.76,104.31,USER_EXIT,0.0,2025-09-30 13:41:04,
