date,symbol,marketcapname,sector
01-05-2025 7:30 pm,JUBLINGREA,Midcap,Chemicals
04-05-2025 7:30 pm,NETWEB,Midcap,I.T
04-05-2025 7:30 pm,RRKABEL,Midcap,Industrials
04-05-2025 7:30 pm,GRAVITA,Midcap,Metals & Mining
05-05-2025 7:30 pm,CCL,Midcap,FMCG
06-05-2025 7:30 pm,GOKEX,Midcap,Consumer Discretionary
06-05-2025 7:30 pm,SPAL,Smallcap,Textiles
07-05-2025 7:30 pm,NIVABUPA,Midcap,Financials
07-05-2025 7:30 pm,SHRIPISTON,Midcap,Auto
11-05-2025 7:30 pm,IFCI,Midcap,Financials
11-05-2025 7:30 pm,MANINDS,Smallcap,Metals & Mining
11-05-2025 7:30 pm,MANORG,Smallcap,Chemicals
11-05-2025 7:30 pm,SYRMA,Midcap,Consumer Discretionary
11-05-2025 7:30 pm,NETWEB,Midcap,I.T
11-05-2025 7:30 pm,STANLEY,Smallcap,Consumer Discretionary
11-05-2025 7:30 pm,GARUDA,Smallcap,Realty
11-05-2025 7:30 pm,DATAMATICS,Midcap,I.T
11-05-2025 7:30 pm,INSPIRISYS,Smallcap,I.T
11-05-2025 7:30 pm,MICEL,Smallcap,Consumer Discretionary
11-05-2025 7:30 pm,RPOWER,Midcap,Power & Utilities
11-05-2025 7:30 pm,TRITURBINE,Midcap,Industrials
11-05-2025 7:30 pm,SCHNEIDER,Largecap,Industrials
11-05-2025 7:30 pm,KPEL,Smallcap,Realty
11-05-2025 7:30 pm,IFGLEXPOR,Smallcap,Building Materials
11-05-2025 7:30 pm,KPIGREEN,Midcap,Power & Utilities
11-05-2025 7:30 pm,MAPMYINDIA,Midcap,I.T
12-05-2025 7:30 pm,MANINDS,Smallcap,Metals & Mining
12-05-2025 7:30 pm,MANORG,Smallcap,Chemicals
12-05-2025 7:30 pm,INSPIRISYS,Smallcap,I.T
12-05-2025 7:30 pm,CARERATING,Smallcap,Financials
12-05-2025 7:30 pm,GINNIFILA,Smallcap,Textiles
13-05-2025 7:30 pm,MANALIPETC,Smallcap,Energy
13-05-2025 7:30 pm,DYCL,Smallcap,Industrials
13-05-2025 7:30 pm,GRSE,Largecap,Aerospace & Defence
14-05-2025 7:30 pm,FOSECOIND,Smallcap,Chemicals
14-05-2025 7:30 pm,TI,Midcap,FMCG
14-05-2025 7:30 pm,RATNAVEER,Smallcap,Metals & Mining
14-05-2025 7:30 pm,VASCONEQ,Smallcap,Realty
14-05-2025 7:30 pm,SHARDACROP,Midcap,Chemicals
14-05-2025 7:30 pm,PRECOT,Smallcap,Textiles
18-05-2025 7:30 pm,BANCOINDIA,Midcap,Auto
18-05-2025 7:30 pm,PREMEXPLN,Smallcap,Chemicals
18-05-2025 7:30 pm,PPAP,Smallcap,Auto
18-05-2025 7:30 pm,SHARDAMOTR,Midcap,Auto
18-05-2025 7:30 pm,PKTEA,Smallcap,FMCG
19-05-2025 7:30 pm,BASF,Largecap,Chemicals
19-05-2025 7:30 pm,HLEGLAS,Smallcap,Industrials
20-05-2025 7:30 pm,HLEGLAS,Smallcap,Industrials
20-05-2025 7:30 pm,KOTHARIPRO,Smallcap,Services
20-05-2025 7:30 pm,WCIL,Smallcap,Transportation
20-05-2025 7:30 pm,GROBTEA,Smallcap,FMCG
21-05-2025 7:30 pm,TRACXN,Smallcap,I.T
21-05-2025 7:30 pm,NTPCGREEN,Largecap,Power & Utilities
21-05-2025 7:30 pm,RAMCOSYS,Smallcap,I.T
21-05-2025 7:30 pm,WABAG,Midcap,Realty
22-05-2025 7:30 pm,COSMOFIRST,Smallcap,Industrials
22-05-2025 7:30 pm,HPL,Smallcap,Industrials
25-05-2025 7:30 pm,SHREYANIND,Smallcap,Building Materials
25-05-2025 7:30 pm,DIACABS,Midcap,Industrials
25-05-2025 7:30 pm,SUNDRMBRAK,Smallcap,Auto
25-05-2025 7:30 pm,MODTHREAD,Smallcap,Textiles
26-05-2025 7:30 pm,DELTAMAGNT,Smallcap,Textiles
26-05-2025 7:30 pm,BAYERCROP,Largecap,Chemicals
26-05-2025 7:30 pm,VENUSREM,Smallcap,Healthcare
26-05-2025 7:30 pm,IPL,Smallcap,Chemicals
27-05-2025 7:30 pm,UNIMECH,Midcap,Aerospace & Defence
27-05-2025 7:30 pm,TECHNOE,Midcap,Realty
28-05-2025 7:30 pm,FMGOETZE,Smallcap,Auto
28-05-2025 7:30 pm,VETO,Smallcap,Industrials
29-05-2025 7:30 pm,LORDSCHLO,Smallcap,Chemicals
29-05-2025 7:30 pm,LUMAXTECH,Midcap,Auto
01-06-2025 7:30 pm,ASTRAZEN,Largecap,Healthcare
01-06-2025 7:30 pm,SIGIND,Smallcap,Services
02-06-2025 7:30 pm,NIBL,Smallcap,Industrials
04-06-2025 7:30 pm,PKTEA,Smallcap,FMCG
05-06-2025 7:30 pm,FOCUS,Smallcap,Industrials
08-06-2025 7:30 pm,OCCLLTD,Smallcap,Chemicals
08-06-2025 7:30 pm,HBSL,Smallcap,Financials
08-06-2025 7:30 pm,RSYSTEMS,Midcap,I.T
08-06-2025 7:30 pm,WEALTH,Smallcap,Financials
08-06-2025 7:30 pm,FOCUS,Smallcap,Industrials
09-06-2025 7:30 pm,OCCL,Smallcap,Financials
09-06-2025 7:30 pm,KOKUYOCMLN,Smallcap,Miscellaneous
09-06-2025 7:30 pm,BAJAJINDEF,Smallcap,Industrials
09-06-2025 7:30 pm,AIROLAM,Smallcap,Building Materials
09-06-2025 7:30 pm,LGHL,Smallcap,Consumer Discretionary
10-06-2025 7:30 pm,ORIENTLTD,Smallcap,Industrials
10-06-2025 7:30 pm,TOLINS,Smallcap,Auto
11-06-2025 7:30 pm,STLTECH,Midcap,Industrials
11-06-2025 7:30 pm,TANLA,Midcap,I.T
11-06-2025 7:30 pm,KARMAENG,Smallcap,Power & Utilities
15-06-2025 7:30 pm,DELPHIFX,Smallcap,Financials
15-06-2025 7:30 pm,ARTNIRMAN,Smallcap,Realty
23-06-2025 7:30 pm,EIEL,Smallcap,Realty
24-06-2025 7:30 pm,ABMINTLLTD,Smallcap,Services
25-06-2025 7:30 pm,ORBTEXP,Smallcap,Textiles
25-06-2025 7:30 pm,THOMASCOTT,Smallcap,Consumer Discretionary
25-06-2025 7:30 pm,ABMINTLLTD,Smallcap,Services
26-06-2025 7:30 pm,PFOCUS,Midcap,Media
