Symbol,BuyPrice,ExecutionTime,StopLoss,Target,Status,ExitPrice,ExitTime,ExitOrderId
BARBEQUE-EQ,232.05,2025-09-29 09:57:08,231.8,232.35,SL Hit,231.3,2025-09-29 09:58:05,25092900421818.0
WESTLIFE-EQ,700.7,2025-09-29 10:07:09,697.2,707.71,Target Hit,708.45,2025-09-29 10:09:02,25092900432664
