Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-09-30 11:29:00,IGL-EQ,11262,Yes,-10,10,20,208.4,206.89,I,,206.43,4.6,-15.1,-30.200000000000387
2025-09-30 11:30:00,IGL-EQ,11262,Yes,-10,10,20,208.4,206.89,I,,206.5,3.9,-15.1,-30.200000000000387
2025-09-30 14:16:00,IGL-EQ,11262,No,0,20,20,207.93,206.89,I,,207.53,0.0,-20.8,-20.80000000000041
2025-09-30 14:16:00,RUCHIRA-EQ,13821,Yes,10,10,0,144.91,0.0,I,,144.81,-1.0,-0.0,0
2025-09-30 14:16:00,BSLGOLDETF-EQ,23804,Yes,10,10,0,103.28,0.0,I,,102.28,-10.0,-0.0,0
2025-09-30 14:17:00,IGL-EQ,11262,No,0,20,20,207.93,206.89,I,,207.28,0.0,-20.8,-20.80000000000041
2025-09-30 14:17:00,RUCHIRA-EQ,13821,Yes,10,10,0,144.91,0.0,I,,144.75,-1.6,-0.0,0
2025-09-30 14:17:00,BSLGOLDETF-EQ,23804,Yes,10,10,0,103.28,0.0,I,,102.64,-6.4,-0.0,0
2025-09-30 14:18:01,IGL-EQ,11262,No,0,20,20,207.93,206.89,I,,207.39,0.0,-20.8,-20.80000000000041
2025-09-30 14:18:01,RUCHIRA-EQ,13821,Yes,10,10,0,144.91,0.0,I,,144.75,-1.6,-0.0,0
2025-09-30 14:18:01,BSLGOLDETF-EQ,23804,Yes,10,10,0,103.28,0.0,I,,102.64,-6.4,-0.0,0
2025-09-30 15:22:35,IGL-EQ,11262,No,0,20,20,207.93,206.89,I,,208.23,0.0,-20.8,-20.80000000000041
2025-09-30 15:22:35,RUCHIRA-EQ,13821,No,0,10,10,144.91,143.77,I,,143.0,0.0,-11.4,-11.399999999999864
2025-09-30 15:22:35,BSLGOLDETF-EQ,23804,No,0,10,10,103.28,102.04,I,,102.05,0.0,-12.4,-12.399999999999949
2025-09-30 15:25:02,IGL-EQ,11262,No,0,20,20,207.93,206.89,I,,208.32,0.0,-20.8,-20.80000000000041
2025-09-30 15:25:02,RUCHIRA-EQ,13821,No,0,10,10,144.91,143.77,I,,142.8,0.0,-11.4,-11.399999999999864
2025-09-30 15:25:02,BSLGOLDETF-EQ,23804,No,0,10,10,103.28,102.04,I,,102.05,0.0,-12.4,-12.399999999999949
