Stock,Entry_Point,Entry_Price,Stop_Loss,Target_Price,Target_Candle_Time,Target_Candle_Open,Target_Candle_Type,Direction
APEX,2025-09-19 09:45:00,250.37,248.23,252.51000000000002,2025-09-19 09:40:00,248.85,RED,BUY
EXICOM,2025-09-19 09:55:00,146.2,148.4,143.99999999999997,2025-09-19 10:30:00,147.5,GREEN,SELL
GIPCL,2025-09-19 09:40:00,190.4,189.27,191.53,2025-09-19 09:30:00,190.03,RED,BUY
HAPPSTMNDS,2025-09-19 09:35:00,571.5,573.05,569.95,2025-09-19 09:30:00,571.95,GREEN,SELL
HINDZINC,2025-09-19 09:40:00,457.25,454.8,459.7,2025-09-19 09:30:00,456.95,RED,BUY
JINDRILL,2025-09-19 09:40:00,610.15,608.9,611.4,2025-09-19 09:45:00,609.95,RED,BUY
MANYAVAR,2025-09-19 09:40:00,727.9,726.4,729.4,2025-09-19 09:30:00,727.65,RED,BUY
MEDIASSIST,2025-09-19 09:35:00,538.8,537.05,540.55,2025-09-19 09:30:00,538.5,RED,BUY
NIITLTD,2025-09-19 09:40:00,112.19,111.55,112.83,2025-09-19 09:35:00,112.15,RED,BUY
PETRONET,2025-09-19 10:10:00,278.15,278.8,277.49999999999994,2025-09-19 10:20:00,278.25,GREEN,SELL
ROSSARI,2025-09-19 09:50:00,647.75,643.9,651.6,2025-09-19 10:35:00,646.15,RED,BUY
SHALBY,2025-09-19 09:35:00,235.14,237.0,233.27999999999997,2025-09-19 09:40:00,235.37,GREEN,SELL
SURAKSHA,2025-09-19 10:00:00,317.75,315.95,319.55,2025-09-19 09:55:00,317.6,RED,BUY
