Timestamp,Symbol,Candle_Time,Open,High,Low,Close,Buy_Price,Stop_Loss,Target,Candle_Range,SL_Type,Calculation_Time
2025-10-09 14:53:54,AUSOMENT,N/A,0,0,0,0,107.43,106.89,108.5,0,FALLBACK,2025-10-09 14:53:54
2025-10-09 15:04:20,PPLPHARMA-EQ,2025-10-09 15:03:00,197.65,197.68,197.6,197.66,197.74,197.55,197.98,0.08,PREV_CANDLE_LOW,2025-10-09 15:04:20
2025-10-09 15:04:20,ADANIENSOL-EQ,2025-10-09 15:03:00,932.4,933.0,932.4,932.75,930.2,925.55,932.0,0.6,PREV_CANDLE_LOW,2025-10-09 15:04:20
2025-10-09 15:04:20,MARKSANS-EQ,2025-10-09 15:03:00,169.11,169.11,168.9,168.9,168.81,167.97,169.44,0.21,PREV_CANDLE_LOW,2025-10-09 15:04:20
2025-10-09 15:04:21,BLACKBUCK-EQ,2025-10-09 15:03:00,676.3,678.0,676.3,677.1,633.2,630.03,638.3,1.7,PREV_CANDLE_LOW,2025-10-09 15:04:21
2025-10-09 15:04:22,BIOCON-EQ,2025-10-09 15:03:00,352.5,352.5,352.35,352.35,355.0,352.3,355.45,0.15,PREV_CANDLE_LOW,2025-10-09 15:04:22
2025-10-09 15:04:22,LATENTVIEW-EQ,2025-10-09 15:03:00,427.35,427.55,427.25,427.25,431.1,427.2,432.0,0.3,PREV_CANDLE_LOW,2025-10-09 15:04:22
2025-10-09 15:04:22,NYKAA-EQ,2025-10-09 15:03:00,263.18,263.95,263.1,263.77,260.47,259.17,263.02,0.85,PREV_CANDLE_LOW,2025-10-09 15:04:22
2025-10-09 15:04:23,COMSYN-EQ,2025-10-09 15:03:00,157.97,158.01,157.97,158.01,156.37,155.59,156.49,0.04,PREV_CANDLE_LOW,2025-10-09 15:04:23
2025-10-09 15:04:23,VEDL-EQ,2025-10-09 15:03:00,483.75,484.1,483.75,483.9,478.8,476.41,479.85,0.35,PREV_CANDLE_LOW,2025-10-09 15:04:23
2025-10-09 15:04:24,SDBL-EQ,2025-10-09 15:03:00,125.89,126.02,125.86,126.02,126.94,125.81,127.42,0.16,PREV_CANDLE_LOW,2025-10-09 15:04:24
2025-10-09 21:00:28,SAIL,N/A,0,0,0,0,135.76,135.08,137.12,0,FALLBACK,2025-10-09 21:00:28
