Symbol,BuyPrice,EntryTime,StopLoss,Target,Status,ExitPrice,ExitTime,ExitOrderId
INFY-EQ,1430.6,2025-10-01 10:13:06,1423.45,1433.3,USER_EXIT,1429.5,2025-10-01 10:17:24,
ICICIB22-EQ,111.04,2025-10-01 10:30:11,110.73,111.46,SL_HIT,110.68,2025-10-01 10:44:14,25100100180340
ADANIENSOL-EQ,876.9,2025-10-01 10:30:12,873.5,879.0,SL_HIT,873.4,2025-10-01 10:39:48,25100100174095.0
DBCORP-EQ,271.4,2025-10-01 10:30:14,270.2,274.11,SL_HIT,270.2,2025-10-01 10:39:50,25100100174151.0
IOC-EQ,151.28,2025-10-01 10:30:15,150.95,151.64,SL_HIT,150.92,2025-10-01 10:32:54,25100100161889.0
