trade_id,stock,entry_price,stop_loss,target_price,quantity,remaining_qty,entry_time,status,order_id,sl_order_id,profit_booked,original_sl,audit_timestamp,audit_action,audit_reason,total_active_trades
GICHSGFIN_083040,GICHSGFIN,177.0,175.9,178.1,10,10,2025-09-22 08:30:40,ACTIVE,25092200262255,25092200262293,False,175.9,2025-09-22 08:30:48,new_trades,,3
IIFLCAPS_083044,IIFLCAPS,286.25,288.75,283.75,10,10,2025-09-22 08:30:44,ACTIVE,25092200262298,25092200262329,False,288.75,2025-09-22 08:30:48,new_trades,,3
VSSL_083048,VSSL,276.6,275.1,278.1,10,10,2025-09-22 08:30:48,ACTIVE,25092200262332,25092200262375,False,275.1,2025-09-22 08:30:48,new_trades,,3
