Stock,Entry_Point,Entry_Price,Stop_Loss,Target_Price,Target_Candle_Time,Target_Candle_Open,Target_Candle_Type,Direction
SANDHAR,2025-09-25 09:45:00,471.85,472.5,471.2000000000001,2025-09-25 09:50:00,471.85,GREEN,SELL
APTUS,2025-09-25 09:45:00,319.3,319.9,318.70000000000005,2025-09-25 09:55:00,319.3,GREEN,SELL
COMSYN,2025-09-25 10:05:00,154.1,153.51,154.69,2025-09-25 10:00:00,154.1,RED,BUY
