Timestamp,Symbol,Candle_Time,Open,High,Low,Close,Buy_Price,Stop_Loss,Target,Candle_Range,SL_Type,Calculation_Time
2025-10-10 09:42:13,AEGISVOPAK,2025-10-10 09:41:00,272.45,272.55,271.95,272.55,274.0,271.9,275.8,0.6,PREV_CANDLE_LOW,2025-10-10 09:42:13
2025-10-10 09:50:29,AEGISVOPAK-EQ,2025-10-10 09:49:00,275.55,277.0,275.5,276.5,274.0,272.63,278.5,1.5,PREV_CANDLE_LOW,2025-10-10 09:50:29
2025-10-10 10:00:12,CARYSIL,2025-10-10 09:59:00,921.15,922.9,921.15,922.9,929.97,921.1,935.22,1.75,PREV_CANDLE_LOW,2025-10-10 10:00:12
2025-10-10 10:14:11,CAMPUS,2025-10-10 10:13:00,278.9,280.2,278.55,280.2,281.0,278.5,285.95,1.65,PREV_CANDLE_LOW,2025-10-10 10:14:11
2025-10-10 10:55:12,MODIRUBBER,2025-10-10 10:54:00,132.39,132.39,132.39,132.39,136.9,132.34,138.27,0.0,PREV_CANDLE_LOW,2025-10-10 10:55:12
2025-10-10 11:27:11,LATENTVIEW,2025-10-10 11:26:00,434.4,434.4,433.55,433.55,435.36,433.5,437.91,0.85,PREV_CANDLE_LOW,2025-10-10 11:27:11
2025-10-10 12:15:14,SUPRIYA,2025-10-10 12:14:00,734.4,735.0,734.25,735.0,735.99,734.2,738.24,0.75,PREV_CANDLE_LOW,2025-10-10 12:15:14
2025-10-10 12:55:12,MOM50,2025-10-10 12:54:00,261.93,261.93,261.93,261.93,262.62,261.88,265.25,0.0,PREV_CANDLE_LOW,2025-10-10 12:55:12
2025-10-10 13:50:13,MOM50,2025-10-10 13:49:00,261.93,261.93,261.93,261.93,262.65,261.88,265.28,0.0,PREV_CANDLE_LOW,2025-10-10 13:50:13
2025-10-10 14:50:11,GICRE,2025-10-10 14:49:00,381.0,381.1,381.0,381.1,382.25,380.95,382.55,0.1,PREV_CANDLE_LOW,2025-10-10 14:50:11
2025-10-10 15:15:14,GUJTHEM,2025-10-10 15:14:00,421.5,421.5,420.5,421.3,421.0,420.45,424.0,1.0,PREV_CANDLE_LOW,2025-10-10 15:15:14
