Symbol,BuyPrice,EntryTime,StopLoss,Target,Status,ExitPrice,ExitTime,ExitOrderId
PNBHOUSING-EQ,897.7,2025-10-06 12:24:13,893.65,902.95,SL_HIT,893.55,2025-10-06 12:55:56,25100600246724.0
SRGHFL-EQ,319.0,2025-10-06 12:25:13,315.45,322.19,SL_HIT,313.6,2025-10-06 12:32:00,25100600228103.0
PNBHOUSING-EQ,898.45,2025-10-06 13:02:13,897.15,899.8,SL_HIT,896.55,2025-10-06 13:06:08,25100600258736.0
DVL-EQ,373.4,2025-10-06 14:20:15,362.45,374.75,TARGET_HIT,375.0,2025-10-06 14:28:03,25100600345383.0
PRIMESECU-EQ,288.9,2025-10-06 14:55:10,275.15,291.79,USER_EXIT,286.55,2025-10-06 22:30:52,
BORANA-EQ,228.0,2025-10-06 15:15:10,220.53,230.28,USER_EXIT,229.99,2025-10-06 22:30:53,
