stock_name,scanned_time,source
HINDALCO,2025-09-24 04:56:35,chartink_screener
SBISILVER,2025-09-24 04:56:35,chartink_screener
VINCOFE,2025-09-24 04:56:35,chartink_screener
ABLBL,2025-09-24 05:01:37,chartink_screener
EPACK,2025-09-24 05:01:37,chartink_screener
LICI,2025-09-24 05:01:37,chartink_screener
RPTECH,2025-09-24 05:01:37,chartink_screener
TITAGARH,2025-09-24 05:01:37,chartink_screener
CONCOR,2025-09-24 05:06:38,chartink_screener
EXICOM,2025-09-24 05:06:38,chartink_screener
IRCTC,2025-09-24 05:06:38,chartink_screener
ABSLAMC,2025-09-24 08:25:59,chartink_screener
ADVENZYMES,2025-09-24 08:25:59,chartink_screener
AFCONS,2025-09-24 08:25:59,chartink_screener
AKUMS,2025-09-24 08:25:59,chartink_screener
ARE&M,2025-09-24 08:25:59,chartink_screener
DEEDEV,2025-09-24 08:25:59,chartink_screener
DIFFNKG,2025-09-24 08:25:59,chartink_screener
IFGLEXPOR,2025-09-24 08:25:59,chartink_screener
JUNIORBEES,2025-09-24 08:25:59,chartink_screener
OSWALPUMPS,2025-09-24 08:25:59,chartink_screener
TIRUMALCHM,2025-09-24 08:25:59,chartink_screener
UGROCAP,2025-09-24 08:25:59,chartink_screener
VERANDA,2025-09-24 08:25:59,chartink_screener
AGARIND,2025-09-24 13:23:00,chartink_screener
DPWIRES,2025-09-24 13:23:00,chartink_screener
IKIO,2025-09-24 13:23:00,chartink_screener
KOLTEPATIL,2025-09-24 13:23:00,chartink_screener
