Stock,Entry_Point,Entry_Price,Stop_Loss,Target_Price,Target_Candle_Time,Target_Candle_Open,Target_Candle_Type,Direction
BORORENEW,2025-09-23 09:35:00,622.0,611.65,632.35,2025-09-23 09:50:00,614.4,RED,BUY
KALAMANDIR,2025-09-23 09:35:00,159.38,158.41,160.35,2025-09-23 09:30:00,159.04,RED,BUY
KECL,2025-09-23 10:05:00,123.23,124.05,122.41000000000001,2025-09-23 09:55:00,123.49,GREEN,SELL
