Timestamp,Symbol,Token,NonZeroPosition,NetQty,BuyQty,SellQty,BuyAvg,SellAvg,ProductType,Remarks,LTP,MTM,PnL,RawMTM
2025-10-09 09:24:00,HDFCVALUE-EQ,11260,Yes,10,10,0,133.87,0.0,I,,133.64,-2.3,-0.0,0
2025-10-09 09:24:00,MIDQ50ADD-EQ,7456,Yes,10,10,0,248.66,0.0,I,,249.05,3.85,-0.0,0
2025-10-09 09:24:00,SBIETFCON-EQ,5168,Yes,10,10,0,125.99,0.0,I,,125.12,-8.7,-0.0,0
2025-10-09 09:24:00,ABINFRA-EQ,27020,Yes,10,10,0,205.99,0.0,I,,204.91,-10.8,-0.0,0
2025-10-09 09:24:00,PPLPHARMA-EQ,11571,Yes,10,10,0,197.74,0.0,I,,197.94,2.0,-0.0,0
2025-10-09 09:24:00,ADANIENSOL-EQ,10217,Yes,10,10,0,930.2,0.0,I,,929.0,-12.0,-0.0,0
2025-10-09 09:24:00,MARKSANS-EQ,10579,Yes,10,10,0,168.81,0.0,I,,172.0,31.9,-0.0,0
2025-10-09 09:24:00,BLACKBUCK-EQ,27144,Yes,10,10,0,633.2,0.0,I,,631.1,-21.0,-0.0,0
2025-10-09 09:24:00,BIOCON-EQ,11373,Yes,10,10,0,355.0,0.0,I,,356.1,11.0,-0.0,0
2025-10-09 09:25:01,HDFCVALUE-EQ,11260,Yes,10,10,0,133.87,0.0,I,,133.64,-2.3,-0.0,0
2025-10-09 09:25:01,MIDQ50ADD-EQ,7456,Yes,10,10,0,248.66,0.0,I,,249.05,3.85,-0.0,0
2025-10-09 09:25:01,SBIETFCON-EQ,5168,Yes,10,10,0,125.99,0.0,I,,125.7,-2.9,-0.0,0
2025-10-09 09:25:01,ABINFRA-EQ,27020,Yes,10,10,0,205.99,0.0,I,,204.0,-19.9,-0.0,0
2025-10-09 09:25:01,PPLPHARMA-EQ,11571,Yes,10,10,0,197.74,0.0,I,,198.13,3.9,-0.0,0
2025-10-09 09:25:01,ADANIENSOL-EQ,10217,Yes,10,10,0,930.2,0.0,I,,929.9,-3.0,-0.0,0
2025-10-09 09:25:01,MARKSANS-EQ,10579,Yes,10,10,0,168.81,0.0,I,,170.59,17.8,-0.0,0
2025-10-09 09:25:01,BLACKBUCK-EQ,27144,Yes,10,10,0,633.2,0.0,I,,630.85,-23.5,-0.0,0
2025-10-09 09:25:01,BIOCON-EQ,11373,Yes,10,10,0,355.0,0.0,I,,355.0,0.0,-0.0,0
2025-10-09 14:10:01,HDFCVALUE-EQ,11260,No,0,10,10,133.87,133.8,I,,134.19,0.0,-0.7,-0.6999999999999318
2025-10-09 14:10:01,MIDQ50ADD-EQ,7456,No,0,10,10,248.66,248.66,I,,249.0,0.0,-0.05,0.0
2025-10-09 14:10:01,SBIETFCON-EQ,5168,No,0,10,10,125.99,125.18,I,,125.53,0.0,-8.1,-8.09999999999988
2025-10-09 14:10:01,ABINFRA-EQ,27020,No,0,10,10,205.99,201.21,I,,197.96,0.0,-47.8,-47.80000000000001
2025-10-09 14:10:01,PPLPHARMA-EQ,11571,Yes,10,10,0,197.74,0.0,I,,197.17,-5.7,-0.0,0
2025-10-09 14:10:01,ADANIENSOL-EQ,10217,Yes,10,10,0,930.2,0.0,I,,933.75,35.5,-0.0,0
2025-10-09 14:10:01,MARKSANS-EQ,10579,Yes,10,10,0,168.81,0.0,I,,170.25,14.4,-0.0,0
2025-10-09 14:10:01,BLACKBUCK-EQ,27144,Yes,10,10,0,633.2,0.0,I,,669.3,361.0,-0.0,0
2025-10-09 14:10:01,BIOCON-EQ,11373,Yes,10,10,0,355.0,0.0,I,,351.55,-34.5,-0.0,0
2025-10-09 14:10:01,SRM-EQ,23402,No,0,10,10,582.7,575.2,I,,573.6,0.0,-75.0,-75.0
