Timestamp,Symbol,Token,NonZeroPosition,NetQty,BuyQty,SellQty,BuyAvg,SellAvg,ProductType,Remarks,LTP,MTM,PnL,RawMTM
2025-10-08 11:25:00,COMSYN-EQ,21578,Yes,10,10,0,156.5,0.0,I,,154.25,-22.5,-0.0,0
2025-10-08 11:26:00,COMSYN-EQ,21578,Yes,10,10,0,156.5,0.0,I,,154.25,-22.5,-0.0,0
2025-10-08 11:27:01,COMSYN-EQ,21578,Yes,10,10,0,156.5,0.0,I,,154.0,-25.0,-0.0,0
2025-10-08 11:46:01,COMSYN-EQ,21578,Yes,10,10,0,156.5,0.0,I,,154.22,-22.8,-0.0,0
2025-10-08 11:46:01,PARAGMILK-EQ,17130,Yes,10,10,0,290.3,0.0,I,,290.05,-2.5,-0.0,0
2025-10-08 14:31:00,COMSYN-EQ,21578,Yes,10,10,0,156.5,0.0,I,,153.75,-27.5,-0.0,0
2025-10-08 14:31:00,PARAGMILK-EQ,17130,Yes,10,10,0,290.3,0.0,I,,292.25,19.5,-0.0,0
2025-10-08 14:32:11,COMSYN-EQ,21578,Yes,10,10,0,156.5,0.0,I,,154.12,-23.8,-0.0,0
2025-10-08 14:32:11,PARAGMILK-EQ,17130,Yes,10,10,0,290.3,0.0,I,,291.85,15.5,-0.0,0
2025-10-08 15:15:14,COMSYN-EQ,21578,No,0,10,10,156.5,154.99,I,,155.01,0.0,-15.1,-15.099999999999909
2025-10-08 15:15:14,PARAGMILK-EQ,17130,No,0,10,10,290.3,289.1,I,,289.15,0.0,-12.0,-11.999999999999886
